Type,Name,Complexity,Health,Weight,Speed
Mouth,Beak,7,8,4,0
Mouth,Carnizaur,8,12,10,0
Mouth,Carpe Diem,7,7,3,0
Mouth,Colgate™ Commercial,7,8,5,0
Mouth,Draconic,8,10,7,0
Mouth,Fanged Menace,8,8,5,0
Mouth,Shorty,7,12,10,0
Mouth,Jaws,7,9,6,0
Mouth,Megazaur,8,13,11,0
Mouth,Ophiapzid,8,14,12,0
Mouth,Peliking,7,11,8,0
Mouth,Piragnaw,7,8,4,0
Mouth,Suck-ulent,8,8,5,0
Mouth,Placodermian,7,8,5,0
Mouth,Piscizaur,8,12,10,0
Mouth,Rodent Sniffer,8,8,4,0
Mouth,Scaverzaur,8,12,10,0
Mouth,Snaggleteeth,8,11,8,0
Mouth,Toothless,6,10,7,0
Mouth,Wormhole,8,8,5,0
Mouth,Trap Jaw,7,8,4,0
Mouth,Trunk,6,8,5,0
Mouth,Wild Sniffer,9,9,6,0
Nose,Smelly,3,5,0.75,0
Nose,Hollownose,3,5,0.5,0
Tail,Scaly Tail,6,25,25,-0.1
Tail,Lobster Tail,7,12,10,-0.1
Tail,Monkey Tail,5,5,1,0
Weapon,Ram Horn,3,8,4,0
Weapon,Unihorn,4,6,2,0
Weapon,Tusk,3,8,5,0
Weapon,Tree Horn,3,10,7.5,0
Weapon,Stag Antlers,3,12,10,0
Weapon,Spiral Horn,3,14,12.5,0
Weapon,Spike Cluster,4,8,5,0
Weapon,Sharp Antlers,3,10,7.5,0
Weapon,Broad Thorn,4,8,4,0
Wing,Aerofoilet,6,8,4,-0.05
Wing,Wicked Wings,6,14,12.5,-0.05
Wing,Feathered Toothbrush,6,12,10,-0.075
